ID,Cluster
637,2
719,3
615,2
660,2
620,2
715,4
604,2
711,2
641,2
646,2
710,4
631,2
718,3
643,2
655,2
638,2
653,10
717,3
659,2
658,2
619,2
656,6
657,2
714,3
622,2
601,2
664,2
613,1
728,2
640,1
611,2
732,2
736,6
713,3
737,2
652,2
661,2
624,2
654,2
651,2
808,3
1047,8
1046,3
1045,2
1044,2
1049,2
750,2
1012,2
770,2
1013,2
745,2
1059,2
752,2
804,3
784,7
743,2
1051,2
1055,3
758,2
763,2
753,2
1052,2
1062,2
810,4
811,9
817,2
769,2
1054,2
767,2
1084,2
1085,2
771,2
1087,2
1083,3
814,3
739,2
1091,2
1089,2
1090,2
847,2
858,3
1080,3
880,5
1078,2
870,3
1079,3
1082,5
869,3
1081,2
1075,2
1065,4
1076,3
828,2
821,2
1064,2
1069,2
1067,2
1068,2
826,2
838,2
872,7
1070,2
875,2
1066,2
1072,2
1074,2
1092,3
1093,4
878,2
1095,5
881,2
867,3
1096,2
836,5
1097,2
879,2
