637,660,620,604,711,641,646,710,631,718,643,655,638,653,659,658,619,656,657,714,622,601,664,613,728,640,611,732,736,713,737,661,624,654,651,808,1047,1046,1044,1049,1012,770,1013,745,752,784,1051,1055,753,1052,1062,810,811,817,769,767,1084,1085,771,1087,1083,814,739,1091,1089,1090,847,858,1080,880,1078,1079,1082,1081,1075,1065,821,1064,1067,1068,838,872,1070,875,1066,1072,1074,1092,1093,878,1095,881,867,1096,836,1097,879
2017,2019,2015,2016,2013,2018,2018,2010,2016,2010,2018,2019,2017,2019,2019,2019,2016,2019,2019,2010,2015,2017,2019,2013,2014,2017,2016,2014,2015,2010,2015,2019,2015,2019,2018,2010,2018,2010,2015,2019,2014,2018,2017,2015,2017,2010,2017,2012,2016,2014,2017,2010,2010,2014,2018,2017,2016,2018,2018,2017,2011,2010,2017,2016,2017,2017,2019,2010,2010,2015,2019,2010,2019,2018,2019,2012,2016,2017,2017,2019,2017,2010,2018,2013,2019,2015,2019,2010,2010,2014,2017,2015,2010,2017,2017,2017,2014
2018,,2016,2017,2014,2019,2019,2011,2017,2011,2019,,2018,,,,2017,,,2011,2016,2018,,2014,2015,2018,2017,2015,2016,2011,2016,,2016,,2019,2011,2019,2011,2016,,2015,2019,2018,2016,2018,2011,2018,2013,2017,2015,2018,2011,2011,2015,2019,2018,2017,2019,2019,2018,2012,2011,2018,2017,2018,2018,,2011,2011,2016,,2011,,2019,,2013,2017,2018,2018,,2018,2011,2019,2014,,2016,,2011,2011,2015,2018,2016,2011,2018,2018,2018,2015
2019,,2017,2018,2015,,,2012,2018,2012,,,2019,,,,2018,,,2012,2017,2019,,2015,2016,2019,2018,2016,2017,2012,2017,,2017,,,2012,,2012,2017,,2016,,2019,2017,2019,2012,2019,2014,2018,2016,2019,2012,2012,2016,,2019,2018,,,2019,2013,2012,2019,2018,2019,2019,,2012,2012,2017,,2012,,,,2014,2018,2019,2019,,2019,2012,,2015,,2017,,2012,2012,2016,2019,2017,2012,2019,2019,2019,2016
,,2018,2019,2016,,,2013,2019,2013,,,,,,,2019,,,2013,2018,,,2016,2017,,2019,2017,2018,2013,2018,,2018,,,2013,,2013,2018,,2017,,,2018,,2013,,2015,2019,2017,,2013,2013,2017,,,2019,,,,2014,2013,,2019,,,,2013,2013,2018,,2013,,,,2015,2019,,,,,2013,,2016,,2018,,2013,2013,2017,,2018,2013,,,,2017
,,2019,,2017,,,2014,,2014,,,,,,,,,,2014,2019,,,2017,2018,,,2018,2019,2014,2019,,2019,,,2014,,2014,2019,,2018,,,2019,,2014,,2016,,2018,,2014,2014,2018,,,,,,,2015,2014,,,,,,2014,2014,2019,,2014,,,,2016,,,,,,2014,,2017,,2019,,2014,2014,2018,,2019,2014,,,,2018
,,,,2018,,,2015,,2015,,,,,,,,,,2015,,,,2018,2019,,,2019,,2015,,,,,,2015,,2015,,,2019,,,,,2015,,2017,,2019,,2015,2015,2019,,,,,,,2016,2015,,,,,,2015,2015,,,2015,,,,2017,,,,,,2015,,2018,,,,2015,2015,2019,,,2015,,,,2019
,,,,2019,,,2016,,2016,,,,,,,,,,2016,,,,2019,,,,,,2016,,,,,,2016,,2016,,,,,,,,2016,,2018,,,,2016,2016,,,,,,,,2017,2016,,,,,,2016,2016,,,2016,,,,2018,,,,,,2016,,2019,,,,2016,2016,,,,2016,,,,
,,,,,,,2017,,2017,,,,,,,,,,2017,,,,,,,,,,2017,,,,,,2017,,2017,,,,,,,,2017,,2019,,,,2017,2017,,,,,,,,2018,2017,,,,,,2017,2017,,,2017,,,,2019,,,,,,2017,,,,,,2017,2017,,,,2017,,,,
,,,,,,,2018,,2018,,,,,,,,,,2018,,,,,,,,,,2018,,,,,,2018,,2018,,,,,,,,2018,,,,,,2018,2018,,,,,,,,2019,2018,,,,,,2018,2018,,,2018,,,,,,,,,,2018,,,,,,2018,2018,,,,2018,,,,
,,,,,,,2019,,2019,,,,,,,,,,2019,,,,,,,,,,2019,,,,,,2019,,2019,,,,,,,,2019,,,,,,2019,2019,,,,,,,,,2019,,,,,,2019,2019,,,2019,,,,,,,,,,2019,,,,,,2019,2019,,,,2019,,,,
