ID,volume,first_index,final_index
637,267.0,0,6
637,264.3,7,16
637,282.9,17,23
637,223.9,24,30
637,285.6,31,37
637,285.9,38,44
637,305.4,45,51
637,169.8,52,58
637,133.3,59,65
719,287.2,66,72
719,392.4,73,79
719,330.4,80,85
719,404.9,86,92
719,367.9,93,98
719,420.9,99,105
719,544.7,106,118
719,293.0,119,125
719,428.2,126,134
719,457.0,135,141
719,500.3,142,148
719,336.9,149,153
719,364.8,154,160
719,519.2,161,167
719,520.1,168,178
719,356.2,179,185
719,488.0,186,193
719,428.9,194,200
719,492.7,201,208
719,268.1,209,217
719,423.8,218,228
719,308.0,229,234
719,400.7,235,241
719,416.6,242,248
719,455.6,249,258
719,260.7,259,266
719,256.5,267,273
719,481.2,274,283
719,515.5,284,290
719,472.7,291,297
719,442.1,298,304
719,399.3,305,311
719,286.3,312,318
719,358.1,319,325
719,438.8,326,332
719,447.6,333,338
719,335.4,339,345
719,408.0,346,352
719,424.1,353,359
719,465.1,360,366
719,494.3,367,373
719,459.9,374,380
719,369.5,381,386
719,331.6,387,393
719,490.5,394,403
719,468.3,404,409
719,489.7,410,418
719,266.6,419,424
615,411.7,425,430
615,274.8,431,439
615,211.6,440,446
615,323.1,447,452
615,324.0,453,459
615,330.5,460,466
615,251.5,467,475
615,426.5,476,482
615,403.1,483,488
615,482.1,489,495
615,432.5,496,502
615,398.3,503,511
615,308.2,512,518
620,316.3,519,548
620,294.7,549,576
604,200.2,577,588
604,170.1,589,598
604,204.5,599,612
604,172.7,613,626
604,220.9,627,640
604,187.1,641,653
725,354.0,654,664
725,199.5,665,672
725,194.3,673,682
725,193.5,683,692
725,163.2,693,701
725,148.8,702,714
725,195.7,715,728
725,252.1,729,740
725,259.2,741,750
725,214.2,751,759
725,154.5,760,769
725,282.3,770,780
725,206.2,781,789
643,279.4,790,804
643,292.5,805,820
622,299.1,821,835
622,251.7,836,845
622,283.5,846,855
622,246.7,856,864
622,250.7,865,871
622,223.7,872,878
622,212.9,879,885
622,192.8,886,891
622,238.8,892,898
601,124.0,899,906
601,117.5,907,920
601,188.7,921,931
601,207.6,932,942
601,134.2,943,951
614,302.4,952,958
614,237.3,959,964
614,212.1,965,971
614,318.6,972,978
614,354.3,979,985
614,319.2,986,992
614,357.7,993,1008
614,457.5,1009,1017
614,496.0,1018,1028
614,368.2,1029,1041
614,333.0,1042,1055
614,272.9,1056,1064
614,406.8,1065,1074
614,382.1,1075,1083
614,296.3,1084,1092
614,496.9,1093,1101
614,392.7,1102,1109
614,404.3,1110,1119
614,361.0,1120,1128
614,522.2,1129,1138
614,393.3,1139,1146
614,409.4,1147,1157
611,280.6,1158,1165
611,194.6,1166,1172
611,296.8,1173,1180
611,168.1,1181,1187
611,245.3,1188,1194
611,255.3,1195,1202
611,217.0,1203,1209
611,312.1,1210,1216
611,228.4,1217,1225
624,182.4,1226,1246
624,178.0,1247,1268
624,185.2,1269,1289
624,184.3,1290,1310
624,152.1,1311,1331
624,182.2,1332,1352
651,216.9,1353,1364
651,223.7,1365,1371
651,300.0,1372,1378
651,248.8,1379,1384
651,188.5,1385,1391
651,199.4,1392,1398
775,211.6,1399,1413
775,211.5,1414,1426
1045,392.1,1427,1436
1045,486.8,1437,1447
1045,622.6,1448,1460
1045,418.7,1461,1470
1045,337.8,1471,1480
1045,412.8,1481,1490
1045,499.7,1491,1501
1045,461.3,1502,1511
1045,414.5,1512,1521
1045,249.8,1522,1536
1045,474.0,1537,1547
1045,272.1,1548,1555
1045,396.9,1556,1566
1045,316.9,1567,1576
1044,262.4,1577,1606
1044,409.7,1607,1634
1044,356.8,1635,1666
1044,285.2,1667,1695
1044,429.6,1696,1724
750,281.8,1725,1731
750,499.3,1732,1738
750,459.9,1739,1745
750,419.9,1746,1752
750,491.0,1753,1759
750,521.7,1760,1766
750,519.8,1767,1773
750,342.6,1774,1780
750,428.2,1781,1792
750,422.3,1793,1799
750,344.7,1800,1806
750,404.9,1807,1813
750,388.1,1814,1820
750,200.3,1821,1830
750,401.7,1831,1838
750,405.3,1839,1845
750,547.6,1846,1855
750,355.7,1856,1861
750,448.9,1862,1868
770,265.9,1869,1875
770,291.3,1876,1882
770,284.3,1883,1889
770,207.6,1890,1899
770,183.2,1900,1908
745,180.6,1909,1915
745,216.5,1916,1922
745,188.2,1923,1928
745,189.3,1929,1935
745,274.6,1936,1944
745,186.0,1945,1949
745,257.7,1950,1956
745,190.2,1957,1962
745,245.3,1963,1969
745,227.5,1970,1977
745,297.4,1978,1984
745,270.0,1985,1991
745,268.9,1992,1998
745,306.4,1999,2005
745,284.5,2006,2012
745,192.6,2013,2019
1059,798.2,2020,2042
1059,821.0,2043,2066
