atemperature,ltemperature,htemperature,windSpeed(m/s),sonw(accumulated),snow,sunshine,humidity(%),interval,last_year_mean,last_year_sum,price,Year sin,Year cos
1.0,-2.3,4.1,2.3,45,0,10.0,47,1,21.374242424242425,2821.4,89,0.8319315120408056,0.5548783283509087
1.3,-3.4,5.4,1.7,44,0,7.0,61,1,21.374242424242425,2821.4,89,0.8413533934154124,0.5404853997920483
2.5,-2.1,6.4,2.3,41,0,7.5,60,1,21.374242424242425,2821.4,89,0.8505262945601604,0.5259325263394187
0.9,-2.4,3.7,3.9,40,1,0.8,57,1,21.374242424242425,2821.4,89,0.8594475009545162,0.5112240145993113
1.7,-4.1,7.0,2.8,39,0,10.1,63,1,21.374242424242425,2821.4,89,0.8681143725615628,0.4963642172357352
2.2,0.2,5.2,3.8,36,0,5.8,76,1,21.374242424242425,2821.4,89,0.8765243446092019,0.4813575316824378
2.0,-0.1,4.4,3.6,33,0,9.1,67,1,21.374242424242425,2821.4,89,0.884674928349253,0.4662083988413809
3.5,0.0,8.3,3.0,30,0,2.6,73,1,21.374242424242425,2821.4,89,0.8925637117937775,0.45092130176885037
0.1,-2.9,3.2,3.5,27,0,10.1,54,1,21.374242424242425,2821.4,89,0.9001883604289409,0.43550076434864626
-4.7,-7.7,-1.7,3.0,65,10,2.5,67,1,25.50952380952381,2678.5,86,0.4793111811081886,0.877645026001215
-5.4,-9.4,-3.8,1.6,65,2,0.6,75,1,25.50952380952381,2678.5,86,0.49433744732929374,0.8692700893093916
-4.7,-5.8,-3.2,5.0,85,23,0.4,77,1,25.50952380952381,2678.5,86,0.5092174251390323,0.8606379110489928
-2.0,-8.1,1.5,2.2,82,0,7.1,66,1,25.50952380952381,2678.5,86,0.5239467111318414,0.851751045725291
1.8,-2.1,5.9,2.0,76,0,9.1,64,1,25.50952380952381,2678.5,86,0.5385209464959743,0.8426121232127389
2.7,-2.2,7.4,2.7,72,0,5.2,62,1,25.50952380952381,2678.5,86,0.5529358183035464,0.8332238479766331
-0.4,-4.4,2.8,4.4,69,2,4.5,54,1,25.50952380952381,2678.5,86,0.567187060786993,0.8235889982726894
-2.5,-8.2,1.8,5.4,66,1,3.3,68,1,25.50952380952381,2678.5,86,0.5812704566011435,0.813710425325065
-2.9,-6.6,2.9,5.3,71,7,2.8,67,1,25.50952380952381,2678.5,86,0.5951818380714458,0.8035910524824771
-4.5,-7.0,-2.2,3.5,69,0,5.5,57,1,25.50952380952381,2678.5,86,0.6089170884272043,0.7932338743531673
-2.4,-5.9,0.5,1.8,68,2,7.2,66,1,25.50952380952381,2678.5,86,0.6224721430200303,0.7826419559185739
-1.4,-4.1,1.8,2.3,82,21,4.7,79,1,25.50952380952381,2678.5,86,0.635842990526414,0.7718184316265235
