ID,volume,first_index,final_index
646,206.0,0,8
710,206.8,9,19
710,201.7,20,28
710,170.1,29,38
710,186.3,39,45
710,208.6,46,54
710,325.1,55,66
710,314.0,67,77
710,208.5,78,86
710,402.5,87,100
710,220.2,101,112
710,151.5,113,121
710,136.6,122,130
710,130.4,131,142
710,198.0,143,157
710,194.0,158,168
710,242.7,169,184
710,275.2,185,196
710,144.4,197,204
710,168.8,205,214
710,118.2,215,224
710,109.3,225,235
710,207.6,236,247
710,163.0,248,254
710,195.4,255,263
710,157.7,264,277
710,110.5,278,283
710,155.0,284,290
710,179.2,291,297
710,203.8,298,304
710,182.6,305,311
710,104.5,312,317
710,203.8,318,324
710,192.4,325,331
710,223.6,332,338
710,197.7,339,346
710,267.8,347,358
718,277.6,359,370
718,158.4,371,383
718,117.9,384,398
718,292.5,399,415
718,187.8,416,427
718,201.5,428,437
718,234.7,438,450
718,195.0,451,461
718,192.9,462,475
718,155.6,476,487
718,173.3,488,499
718,196.4,500,513
718,230.0,514,535
718,227.9,536,546
718,238.5,547,557
718,172.5,558,570
718,169.0,571,584
718,134.4,585,593
718,164.1,594,605
718,186.0,606,616
718,155.1,617,626
718,231.1,627,636
718,214.5,637,647
718,219.4,648,659
718,182.9,660,668
718,283.2,669,682
638,375.5,683,709
638,174.4,710,716
638,256.0,717,723
638,244.0,724,730
638,239.2,731,744
638,223.7,745,751
638,232.4,752,758
717,349.9,759,787
717,518.0,788,815
717,316.6,816,836
717,380.4,837,857
717,424.5,858,880
717,302.4,881,905
717,407.8,906,933
717,335.1,934,954
613,191.9,955,963
613,215.6,964,973
613,211.3,974,985
613,198.4,986,995
613,327.0,996,1005
613,218.3,1006,1014
613,283.6,1015,1026
613,310.7,1027,1035
613,147.2,1036,1044
613,201.0,1045,1052
613,197.9,1053,1060
613,187.6,1061,1067
640,240.3,1068,1072
640,199.0,1073,1076
640,243.0,1077,1081
640,234.1,1082,1086
640,271.6,1087,1092
640,279.3,1093,1096
640,341.0,1097,1101
640,191.8,1102,1105
736,146.6,1106,1120
736,85.1,1121,1135
736,116.4,1136,1149
736,145.3,1150,1163
736,152.7,1164,1178
1047,314.3,1179,1188
1013,106.0,1189,1209
1013,129.1,1210,1230
1013,190.4,1231,1255
1013,184.3,1256,1274
784,183.3,1275,1282
784,103.8,1283,1288
784,194.1,1289,1297
784,275.7,1298,1307
784,183.4,1308,1314
784,220.5,1315,1321
784,180.7,1322,1329
784,249.9,1330,1340
784,255.9,1341,1349
784,192.1,1350,1359
784,252.0,1360,1369
784,307.3,1370,1383
784,313.2,1384,1395
784,202.3,1396,1406
784,232.7,1407,1415
784,248.3,1416,1425
784,229.3,1426,1434
784,253.1,1435,1444
784,143.4,1445,1454
1055,238.0,1455,1474
1055,121.9,1475,1489
1055,236.9,1490,1504
1055,223.4,1505,1519
1055,195.3,1520,1535
1055,271.7,1536,1551
1055,279.7,1552,1565
1055,278.6,1566,1579
1055,279.6,1580,1593
758,217.8,1594,1609
758,165.6,1610,1619
758,348.3,1620,1637
758,303.6,1638,1647
758,285.3,1648,1657
758,175.4,1658,1671
758,219.8,1672,1681
758,228.9,1682,1691
758,161.8,1692,1699
758,143.7,1700,1708
1053,152.9,1709,1728
1053,174.2,1729,1749
1053,225.2,1750,1779
810,128.8,1780,1791
810,181.5,1792,1801
810,271.4,1802,1816
810,248.8,1817,1831
810,325.7,1832,1846
810,377.5,1847,1864
810,267.1,1865,1876
810,330.7,1877,1891
810,269.7,1892,1905
810,236.5,1906,1916
810,209.9,1917,1926
810,208.8,1927,1935
810,250.0,1936,1945
810,256.0,1946,1955
810,218.3,1956,1965
810,191.0,1966,1974
810,184.4,1975,1983
810,225.6,1984,1996
810,222.1,1997,2006
810,204.5,2007,2016
810,172.3,2017,2027
810,209.3,2028,2039
810,239.9,2040,2050
810,235.3,2051,2061
810,241.6,2062,2075
810,190.2,2076,2088
810,210.4,2089,2098
810,169.2,2099,2107
810,197.5,2108,2118
810,127.7,2119,2126
810,195.3,2127,2136
810,131.9,2137,2145
811,283.5,2146,2166
811,279.8,2167,2186
