date,atemperature,ltemperature,sunshine,sonw(accumulated),htemperature,snow,windSpeed(m/s),humidity(%)
2010/1/1,-0.1,-2.1,1.1,27,2.3,5,4.2,66
2010/1/2,1.2,-1.2,0.0,29,2.3,6,6.7,89
2010/1/3,-0.8,-3.7,4.4,27,1.6,1,1.7,77
2010/1/4,0.7,-1.8,5.9,31,3.0,6,3.2,69
2010/1/5,-1.6,-5.1,0.0,31,1.2,3,2.5,74
2010/1/6,2.3,0.1,0.0,31,3.5,0,5.3,62
2010/1/7,0.5,-2.6,4.3,30,2.9,0,5.3,54
2010/1/8,-2.2,-4.2,4.0,37,0.4,10,1.8,64
2010/1/9,-1.1,-4.1,4.4,36,2.3,1,2.1,69
2010/1/10,-2.5,-4.1,3.0,36,0.7,2,3.2,57
2010/1/11,-3.4,-6.2,2.1,34,-1.9,2,2.0,66
2010/1/12,-3.5,-7.3,5.0,35,0.0,6,2.0,73
2010/1/13,-3.4,-7.1,0.0,48,-0.1,16,2.3,71
2010/1/14,-4.5,-6.6,7.7,47,-2.3,0,3.0,50
2010/1/15,-6.5,-8.7,2.6,46,-3.8,7,3.5,65
2010/1/16,-6.5,-9.1,2.6,55,-3.8,13,5.8,68
2010/1/17,-4.6,-7.6,5.0,64,-2.4,14,2.5,74
2010/1/18,-1.8,-5.0,0.8,58,0.5,0,1.8,65
2010/1/19,-0.6,-3.3,5.7,53,1.6,1,3.1,62
2010/1/20,2.2,-1.8,0.1,51,5.3,8,4.8,84
2010/1/21,-5.9,-8.9,2.7,59,-1.7,10,5.7,60
2010/1/22,-6.1,-8.7,3.5,52,-4.3,0,3.1,58
2010/1/23,-2.9,-5.3,0.1,49,-1.4,5,1.7,75
2010/1/24,-1.1,-3.1,1.0,49,1.0,2,2.3,66
2010/1/25,-0.1,-4.2,0.3,47,4.1,7,3.2,76
2010/1/26,-5.9,-7.6,1.8,47,-3.3,7,5.3,63
2010/1/27,0.8,-4.5,2.2,46,5.2,1,2.5,64
2010/1/28,1.0,-3.3,0.1,46,5.2,3,3.9,70
2010/1/29,-3.4,-4.4,0.3,48,-2.1,10,2.2,71
2010/1/30,-2.4,-6.3,7.1,48,0.4,0,1.7,69
2010/1/31,0.5,-3.6,5.0,52,4.7,8,3.2,70
2010/2/1,-5.1,-6.8,6.1,52,-1.8,1,4.5,51
2010/2/2,-7.1,-10.1,7.2,49,-4.8,1,3.3,55
2010/2/3,-10.7,-12.6,0.4,50,-9.5,7,2.2,60
