date,average_tem,snow(cm)
2009/1/1,2.5,0
2009/1/2,0.8,1
2009/1/3,0.9,2
2009/1/4,-1.1,4
2009/1/5,-3.6,7
2009/1/6,-3.3,11
2009/1/7,-2,1
2009/1/8,-3.8,0
2009/1/9,-1.9,0
2009/1/10,0.1,18
2009/1/11,-0.1,1
2009/1/12,-2.3,0
2009/1/13,-1.4,0
2009/1/14,0.4,4
2009/1/15,-3.4,2
2009/1/16,-2.6,0
2009/1/17,-1.5,0
2009/1/18,-0.5,1
2009/1/19,2.7,4
2009/1/20,-0.7,32
2009/1/21,-2,1
2009/1/22,-0.4,0
2009/1/23,4.2,0
2009/1/24,-5.6,3
2009/1/25,-4.6,3
2009/1/26,-4.3,3
2009/1/27,-4.4,1
2009/1/28,-1.8,0
2009/1/29,2.1,0
2009/1/30,0.3,0
2009/1/31,-3.1,0
2009/2/1,-4.8,4
2009/2/2,-2.9,1
2009/2/3,-3.9,12
2009/2/4,-1.4,0
2009/2/5,-0.2,4
2009/2/6,-2.8,26
2009/2/7,-3.4,4
2009/2/8,-1.8,26
2009/2/9,-0.3,0
2009/2/10,-1.7,4
2009/2/11,-2.2,1
2009/2/12,0.5,5
2009/2/13,1.3,1
2009/2/14,4.6,1
2009/2/15,-1,10
2009/2/16,-6.4,7
2009/2/17,-4.2,8
2009/2/18,-5.7,3
2009/2/19,-5.1,3
2009/2/20,-2.9,9
2009/2/21,-3.5,17
2009/2/22,-2.6,7
2009/2/23,-5.4,8
2009/2/24,-1.9,3
2009/2/25,0.4,2
2009/2/26,-2,1
2009/2/27,-0.5,3
2009/2/28,-2.6,4
2009/3/1,-1.3,0
2009/3/2,-3.2,11
2009/3/3,-2,2
2009/3/4,1.2,0
2009/3/5,0.3,0
2009/3/6,2.4,1
2009/3/7,-0.7,8
2009/3/8,0.8,0
2009/3/9,2.7,0
2009/3/10,1.2,3
2009/3/11,-3.2,12
2009/3/12,0.3,2
2009/3/13,1.8,0
2009/3/14,4.2,4
2009/3/15,1.5,2
2009/3/16,4.6,0
2009/3/17,3.8,0
2009/3/18,5.7,0
2009/3/19,6,0
2009/3/20,1.6,3
2009/3/21,1.5,1
2009/3/22,5.3,0
2009/3/23,1.8,1
2009/3/24,-1.8,5
2009/3/25,0.3,1
2009/3/26,1.1,8
2009/3/27,0.8,4
2009/3/28,0.7,1
2009/3/29,3.3,0
2009/3/30,2.4,0
2009/3/31,2.3,0
2009/4/1,3,0
2009/4/2,4,0
2009/4/3,6,0
2009/4/4,7.2,0
2009/4/5,8.1,0
2009/4/6,6.7,0
2009/4/7,4.2,0
2009/4/8,6.6,0
2009/4/9,9,0
2009/4/10,11.2,0
2009/4/11,6.4,0
2009/4/12,9.4,0
2009/4/13,11.9,0
2009/4/14,8.7,0
2009/4/15,7.8,0
2009/4/16,5,0
2009/4/17,8.3,0
2009/4/18,8.1,0
2009/4/19,8.7,0
2009/4/20,9.6,0
2009/4/21,8.3,0
2009/4/22,11.6,0
2009/4/23,5.8,0
2009/4/24,5.6,0
2009/4/25,7.3,0
2009/4/26,3,2
2009/4/27,5.4,0
2009/4/28,7.3,0
2009/4/29,10.1,0
2009/4/30,15.3,0
2009/5/1,13.3,0
2009/5/2,14.9,0
2009/5/3,16.3,0
2009/5/4,17.3,0
2009/5/5,11.8,0
2009/5/6,13.5,0
2009/5/7,15.8,0
2009/5/8,13.2,0
2009/5/9,15.3,0
2009/5/10,12.6,0
2009/5/11,11.6,0
2009/5/12,11.3,0
2009/5/13,11.6,0
2009/5/14,8.7,0
2009/5/15,8.3,0
2009/5/16,12,0
2009/5/17,12.5,0
2009/5/18,15.3,0
2009/5/19,17.7,0
2009/5/20,17.3,0
2009/5/21,19.7,0
2009/5/22,16.7,0
2009/5/23,14.5,0
2009/5/24,12.5,0
2009/5/25,12.3,0
2009/5/26,13.9,0
2009/5/27,14.2,0
2009/5/28,14.9,0
2009/5/29,15.2,0
2009/5/30,13.4,0
2009/5/31,13.3,0
2009/6/1,14.3,0
2009/6/2,13.8,0
2009/6/3,18.2,0
2009/6/4,16.6,0
2009/6/5,16.8,0
2009/6/6,18,0
2009/6/7,16.2,0
2009/6/8,15.6,0
2009/6/9,16.3,0
2009/6/10,17.2,0
2009/6/11,15.7,0
2009/6/12,18.3,0
2009/6/13,14.2,0
2009/6/14,12.9,0
2009/6/15,14.2,0
2009/6/16,13.4,0
2009/6/17,14.1,0
2009/6/18,14.4,0
2009/6/19,15.3,0
2009/6/20,15.9,0
2009/6/21,18.2,0
2009/6/22,18.7,0
2009/6/23,21.1,0
2009/6/24,22.3,0
2009/6/25,23.5,0
2009/6/26,23.3,0
2009/6/27,20.9,0
2009/6/28,22.6,0
2009/6/29,22.8,0
2009/6/30,19.8,0
2009/7/1,19.4,0
2009/7/2,18.5,0
2009/7/3,17.1,0
2009/7/4,18.5,0
2009/7/5,20.2,0
2009/7/6,20.6,0
2009/7/7,23.1,0
2009/7/8,20.7,0
2009/7/9,22.4,0
2009/7/10,17.6,0
2009/7/11,17.1,0
2009/7/12,20.8,0
