"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2022年4月8日","101.06","101.54","102.09","99.65","-","0.48%"
"2022年4月7日","100.58","101.78","103.59","98.41","296.03K","-0.48%"
"2022年4月6日","101.07","105.70","108.67","100.54","286.52K","-5.22%"
"2022年4月5日","106.64","108.51","109.90","104.53","203.06K","-0.83%"
"2022年4月4日","107.53","104.08","108.68","102.89","218.68K","3.01%"
"2022年4月1日","104.39","105.25","106.24","102.35","238.62K","-3.26%"
"2022年3月31日","107.91","112.81","112.94","106.50","8.68K","-4.88%"
"2022年3月30日","113.45","112.00","114.80","110.74","72.33K","2.92%"
"2022年3月29日","110.23","110.10","114.83","104.84","93.68K","-2.00%"
"2022年3月28日","112.48","119.90","119.90","109.06","150.82K","-6.77%"
"2022年3月25日","120.65","118.88","120.92","115.16","133.46K","1.36%"
"2022年3月24日","119.03","121.56","123.74","116.93","177.66K","-2.11%"
"2022年3月23日","121.60","114.70","122.34","114.45","224.53K","5.30%"
"2022年3月22日","115.48","117.04","119.48","112.64","204.66K","-0.12%"
"2022年3月21日","115.62","107.50","116.80","107.06","196.49K","7.12%"
"2022年3月18日","107.93","106.80","109.59","105.78","168.91K","1.21%"
"2022年3月17日","106.64","98.61","107.50","97.75","200.95K","8.79%"
"2022年3月16日","98.02","99.14","103.70","96.93","246.82K","-1.89%"
"2022年3月15日","99.91","105.34","105.71","97.44","318.12K","-6.54%"
"2022年3月14日","106.90","113.15","113.15","103.49","265.91K","-5.12%"
"2022年3月11日","112.67","110.26","113.91","107.13","287.39K","3.05%"
"2022年3月10日","109.33","112.65","118.36","109.00","352.34K","-1.63%"
"2022年3月9日","111.14","130.28","131.64","105.60","521.58K","-13.16%"
"2022年3月8日","127.98","124.56","133.15","121.31","469.99K","3.87%"
"2022年3月7日","123.21","122.79","139.13","119.04","419.93K","4.32%"
"2022年3月4日","118.11","114.23","118.98","109.62","334.41K","6.93%"
"2022年3月3日","110.46","115.27","119.84","109.40","452.52K","-2.19%"
"2022年3月2日","112.93","107.34","115.11","106.83","490.57K","7.58%"
"2022年3月1日","104.97","98.43","107.67","98.30","492.51K","3.94%"
"2022年2月28日","100.99","101.98","105.07","99.64","22.96K","3.12%"
"2022年2月25日","97.93","100.69","101.99","96.00","68.98K","-1.16%"
"2022年2月24日","99.08","98.08","105.79","97.56","167.79K","2.31%"
"2022年2月23日","96.84","96.65","98.71","95.81","238.63K","0.00%"
"2022年2月22日","96.84","96.55","99.50","95.80","316.38K","1.52%"
"2022年2月21日","95.39","94.29","97.40","92.57","217.04K","1.98%"
"2022年2月18日","93.54","92.73","94.15","90.12","348.35K","0.61%"
"2022年2月17日","92.97","92.20","94.50","92.14","347.79K","-1.94%"
"2022年2月16日","94.81","93.49","96.07","91.11","393.79K","1.64%"
"2022年2月15日","93.28","95.81","96.26","92.06","378.25K","-3.32%"
"2022年2月14日","96.48","95.20","96.78","93.44","373.09K","2.16%"
"2022年2月11日","94.44","91.17","95.66","90.51","452.11K","3.31%"
"2022年2月10日","91.41","91.75","93.10","90.88","369.01K","-0.15%"
"2022年2月9日","91.55","91.08","92.09","90.05","294.00K","0.85%"
"2022年2月8日","90.78","92.63","92.93","89.93","368.55K","-2.06%"
"2022年2月7日","92.69","92.75","94.00","92.13","317.29K","-0.62%"
"2022年2月4日","93.27","91.30","93.70","91.20","322.13K","2.37%"
"2022年2月3日","91.11","89.07","91.30","88.02","301.79K","1.83%"
"2022年2月2日","89.47","89.48","90.52","88.28","319.43K","0.35%"
"2022年2月1日","89.16","89.62","89.96","87.72","271.77K","-2.25%"
"2022年1月31日","91.21","90.80","91.48","90.61","11.01K","1.31%"
"2022年1月28日","90.03","89.98","91.70","89.41","102.01K","2.11%"
"2022年1月27日","88.17","88.50","89.74","87.79","131.70K","-0.64%"
"2022年1月26日","88.74","86.98","89.27","86.71","260.11K","0.61%"
"2022年1月25日","88.20","86.76","88.37","86.20","256.21K","2.24%"
"2022年1月24日","86.27","87.93","88.90","85.04","309.89K","-1.84%"
"2022年1月21日","87.89","86.75","88.23","85.71","288.21K","-0.55%"
"2022年1月20日","88.38","87.89","89.50","87.05","279.52K","-0.07%"
"2022年1月19日","88.44","88.65","89.17","87.61","350.94K","1.06%"
"2022年1月18日","87.51","86.47","88.66","86.44","356.88K","1.19%"
"2022年1月17日","86.48","86.15","86.71","85.54","139.82K","0.49%"
"2022年1月14日","86.06","84.12","86.50","83.99","304.72K","1.88%"
"2022年1月13日","84.47","84.87","85.10","83.79","265.20K","-0.24%"
