,id,supplied_at,予測値,真値(給油量L),誤差(予測-真値),EE((予測-真値)/真値),interval,matemp,mltemp,mhtemp,tank_type_id,タンク容量,推定の残量,実際の残量,推定残日数,可能な残日数,残日数EE,label,pre
21,725,2012-12-20 07:14:00,318.7,318.2,0.5,0.001,14.0,-1.7,-4.6,0.6,1,496,177.3,177.8,7.8,7.8,0.0,1,1
22,725,2013-01-25 14:02:00,263.6,285.1,-21.5,-0.075,10.0,-3.8,-7.1,-1.0,1,496,232.39999999999998,210.89999999999998,8.8,7.4,0.189,1,1
23,725,2013-03-07 11:31:00,180.4,271.8,-91.4,-0.336,10.0,-0.8,-4.5,2.3,1,496,315.6,224.2,17.5,8.2,1.134,1,1
24,725,2013-03-18 05:29:00,179.2,260.0,-80.8,-0.311,11.0,-0.4,-4.4,3.5,1,496,316.8,236.0,19.4,10.0,0.94,1,1
25,725,2014-02-18 06:02:00,348.4,354.0,-5.6,-0.016,11.0,-4.2,-7.4,-1.3,1,496,147.60000000000002,142.0,4.7,4.4,0.068,1,1
26,725,2014-03-18 05:20:00,303.9,269.9,34.0,0.126,11.0,-1.0,-3.7,1.9,1,496,192.10000000000002,226.10000000000002,7.0,9.2,-0.239,1,1
27,725,2014-03-28 10:57:00,227.7,208.0,19.7,0.095,10.0,3.1,-0.8,7.4,1,496,268.3,288.0,11.8,13.8,-0.145,0,1
28,725,2014-12-27 07:23:00,227.7,224.5,3.2,0.014,9.0,-2.5,-6.4,0.7,1,496,268.3,271.5,10.6,10.9,-0.028,0,1
29,725,2015-01-22 05:50:00,327.0,295.1,31.9,0.108,15.0,-1.3,-3.9,1.3,1,496,169.0,200.89999999999998,7.8,10.2,-0.235,1,1
30,725,2015-03-18 06:24:00,180.3,141.2,39.1,0.277,9.0,3.2,0.6,6.3,1,496,315.7,354.8,15.8,22.6,-0.301,0,1
31,725,2015-03-27 04:58:00,158.1,138.4,19.7,0.143,9.0,4.4,0.5,8.3,1,496,337.9,357.6,19.2,23.3,-0.176,0,1
32,725,2015-04-09 06:14:00,191.9,148.8,43.1,0.29,13.0,6.4,2.9,10.9,1,496,304.1,347.2,20.6,30.3,-0.32,0,1
33,725,2016-01-18 06:58:00,290.4,268.1,22.3,0.083,12.0,-4.7,-7.3,-2.4,1,496,205.60000000000002,227.89999999999998,8.5,10.2,-0.167,1,1
34,725,2016-02-17 08:06:00,206.4,206.4,0.0,0.0,9.0,-1.0,-4.4,2.1,1,496,289.6,289.6,12.6,12.6,0.0,0,1
35,725,2016-12-06 06:23:00,200.7,190.7,10.0,0.053,10.0,2.6,-0.9,6.3,1,496,295.3,305.3,14.7,16.0,-0.081,0,1
36,725,2017-01-06 09:32:00,267.4,349.8,-82.4,-0.236,13.0,-2.5,-5.4,0.2,1,496,228.60000000000002,146.2,11.1,5.4,1.056,1,1
37,725,2017-01-28 05:57:00,267.7,260.1,7.6,0.029,11.0,-4.1,-7.4,-1.1,1,496,228.3,235.89999999999998,9.4,10.0,-0.06,1,1
38,725,2018-01-30 06:22:00,294.2,259.2,35.0,0.135,10.0,-5.6,-8.8,-2.7,1,496,201.8,236.8,6.9,9.1,-0.242,1,1
39,725,2018-02-16 05:43:00,224.4,178.6,45.8,0.256,8.0,-4.0,-6.9,-1.3,1,496,271.6,317.4,9.7,14.2,-0.317,0,1
40,725,2018-02-27 08:28:00,312.5,285.6,26.9,0.094,11.0,-4.4,-7.8,-1.2,1,496,183.5,210.39999999999998,6.5,8.1,-0.198,1,1
41,725,2018-11-24 10:13:00,182.8,148.1,34.7,0.234,14.0,4.9,2.7,7.7,1,496,313.2,347.9,24.0,32.9,-0.271,0,1
42,725,2018-12-15 08:30:00,256.0,282.3,-26.3,-0.093,11.0,-3.1,-5.9,-0.7,1,496,240.0,213.7,10.3,8.3,0.241,1,1
43,725,2019-01-24 07:10:00,230.1,246.5,-16.4,-0.067,9.0,-3.8,-6.8,-0.7,1,496,265.9,249.5,10.4,9.1,0.143,0,1
