,id,supplied_at,予測値,真値(給油量L),誤差(予測-真値),EE((予測-真値)/真値),interval,matemp,mltemp,mhtemp,tank_type_id,タンク容量,推定の残量,実際の残量,推定残日数,可能な残日数,残日数EE
15,604,2018-01-09 09:58:00,220.4,228.3,-7.9,-0.035,14.0,-1.0,-3.4,1.4,1,496,275.6,267.7,17.5,16.4,0.067
36,725,2017-01-06 09:32:00,267.4,349.8,-82.4,-0.236,13.0,-2.5,-5.4,0.2,1,496,228.60000000000002,146.2,11.1,5.4,1.056
57,622,2019-01-07 06:14:00,239.6,195.0,44.6,0.229,8.0,-2.6,-5.0,-0.4,1,496,256.4,301.0,8.6,12.3,-0.301
79,624,2018-01-11 07:26:00,216.5,151.4,65.1,0.43,21.0,-0.8,-3.7,1.9,1,496,279.5,344.6,27.1,47.8,-0.433
102,745,2019-01-04 12:07:00,297.3,290.9,6.4,0.022,8.0,-2.5,-5.1,-0.2,1,496,198.7,205.10000000000002,5.3,5.6,-0.054
112,1051,2019-01-11 12:11:00,306.1,277.4,28.7,0.103,30.0,-1.8,-4.4,0.5,3,500,193.89999999999998,222.60000000000002,19.0,24.1,-0.212
140,1084,2019-01-11 14:22:00,214.6,182.0,32.6,0.179,21.0,-2.3,-4.8,-0.0,1,496,281.4,314.0,27.5,36.2,-0.24
174,1067,2019-01-08 06:15:00,302.6,355.1,-52.5,-0.148,19.0,-2.2,-4.9,0.0,3,500,197.39999999999998,144.89999999999998,12.4,7.8,0.59
202,867,2012-01-05 06:18:00,209.0,200.7,8.3,0.042,7.0,-1.7,-4.9,1.3,1,496,287.0,295.3,9.6,10.3,-0.068
207,867,2013-01-05 06:58:00,303.9,178.3,125.6,0.704,9.0,-4.3,-7.7,-1.3,1,496,192.10000000000002,317.7,5.7,16.0,-0.644
211,867,2014-01-07 06:19:00,207.6,226.9,-19.3,-0.085,7.0,-2.4,-5.4,0.6,1,496,288.4,269.1,9.7,8.3,0.169
229,867,2018-01-04 05:39:00,197.1,188.8,8.3,0.044,6.0,-0.8,-3.1,1.9,1,496,298.9,307.2,9.1,9.8,-0.071
