,id,supplied_at,予測値,真値(給油量L),誤差(予測-真値),EE((予測-真値)/真値),interval,matemp,mltemp,mhtemp,tank_type_id,タンク容量,推定の残量,実際の残量,推定残日数,可能な残日数,残日数EE
4,637,2019-01-11 06:45:00,233.2,285.6,-52.4,-0.184,7.0,-2.7,-5.1,-0.2,1,496,262.8,210.39999999999998,7.9,5.2,0.519
17,604,2019-01-21 07:04:00,212.6,187.1,25.5,0.136,13.0,-3.3,-6.3,-0.3,1,496,283.4,308.9,17.3,21.5,-0.195
29,725,2015-01-22 05:50:00,327.0,295.1,31.9,0.108,15.0,-1.3,-3.9,1.3,1,496,169.0,200.89999999999998,7.8,10.2,-0.235
33,725,2016-01-18 06:58:00,290.4,268.1,22.3,0.083,12.0,-4.7,-7.3,-2.4,1,496,205.60000000000002,227.89999999999998,8.5,10.2,-0.167
48,622,2016-01-19 06:34:00,397.1,385.0,12.1,0.031,11.0,-4.8,-7.6,-2.4,1,496,98.89999999999998,111.0,2.7,3.2,-0.156
55,622,2018-01-08 06:09:00,184.1,202.1,-18.0,-0.089,6.0,-0.4,-2.6,1.5,1,496,311.9,293.9,10.2,8.7,0.172
64,601,2019-01-18 12:15:00,201.5,188.7,12.8,0.068,11.0,-3.4,-6.5,-0.3,1,496,294.5,307.3,16.1,17.9,-0.101
90,770,2019-01-12 10:08:00,227.2,288.3,-61.1,-0.212,7.0,-2.7,-5.3,-0.2,1,496,268.8,207.7,8.3,5.0,0.66
95,745,2016-01-12 15:08:00,253.9,216.5,37.4,0.173,7.0,-4.1,-5.7,-2.4,1,496,242.1,279.5,6.7,9.0,-0.256
115,817,2015-01-12 15:03:00,212.8,293.9,-81.1,-0.276,7.0,-0.1,-2.8,2.3,1,496,283.2,202.10000000000002,9.3,4.8,0.938
124,817,2017-01-12 15:05:00,325.0,337.9,-12.9,-0.038,7.0,-4.4,-7.4,-1.6,1,496,171.0,158.10000000000002,3.7,3.3,0.121
134,769,2019-01-10 05:50:00,174.4,192.4,-18.0,-0.094,5.0,-2.6,-5.2,0.2,1,496,321.6,303.6,9.2,7.9,0.165
138,1084,2018-01-31 07:53:00,197.2,208.5,-11.3,-0.054,20.0,-3.8,-7.0,-1.0,1,496,298.8,287.5,30.3,27.6,0.098
155,1091,2018-01-09 05:53:00,126.3,116.1,10.2,0.088,6.0,0.1,-2.6,2.2,1,496,369.7,379.9,17.6,19.6,-0.102
192,1072,2018-01-24 07:11:00,273.1,292.9,-19.8,-0.068,16.0,-2.5,-5.7,0.5,1,496,222.89999999999998,203.10000000000002,13.1,11.1,0.18
194,1072,2019-01-19 08:23:00,198.0,218.9,-20.9,-0.096,12.0,-3.2,-6.3,-0.2,1,496,298.0,277.1,18.1,15.2,0.191
197,1095,2018-01-15 10:49:00,145.1,97.9,47.2,0.482,10.0,-1.3,-4.7,1.3,3,500,354.9,402.1,24.5,41.1,-0.404
236,867,2019-01-11 16:36:00,243.1,267.0,-23.9,-0.09,7.0,-2.7,-5.1,-0.2,1,496,252.9,229.0,7.3,6.0,0.217
241,1097,2019-01-25 08:13:00,141.8,154.2,-12.4,-0.08,13.0,-3.5,-6.5,-0.6,1,496,354.2,341.8,32.5,28.8,0.128
